Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Task
94797,4604,2345,14.0,DPD,Delivery
94816,2662,2346,10.0,DHL,Delivery
94829,4604,2346,14.0,DPD,Delivery
94837,2668,2346,1.0,PostNL,Delivery
94844,2668,2346,1.0,PostNL,Delivery
94859,2668,2346,1.0,PostNL,Delivery
94869,4604,2346,14.0,DPD,Delivery
94887,4604,2347,14.0,DPD,Delivery
94890,4604,2347,14.0,DPD,Delivery
94892,2668,2347,1.0,PostNL,Delivery
94907,2668,2347,1.0,PostNL,Delivery
94911,2668,2347,1.0,PostNL,Delivery
94949,4604,2348,14.0,DPD,Delivery
94955,4604,2348,14.0,DPD,Delivery
94957,4604,2348,14.0,DPD,Delivery
94964,2668,2348,1.0,PostNL,Delivery
94967,2668,2348,1.0,PostNL,Delivery
94970,2668,2348,1.0,PostNL,Delivery
94976,2668,2348,1.0,PostNL,Delivery
94991,2668,2348,1.0,PostNL,Delivery
95002,2668,2348,1.0,PostNL,Delivery
95005,2668,2348,1.0,PostNL,Delivery
95017,4604,2348,14.0,DPD,Delivery
95022,1044,2349,7.0,DHL,Delivery
95024,1044,2349,7.0,DHL,Delivery
95029,4604,2349,14.0,DPD,Delivery
95047,2668,2349,1.0,PostNL,Delivery
95057,1044,2350,7.0,DHL,Delivery
95092,4604,2350,14.0,DPD,Delivery
95095,2668,2350,1.0,PostNL,Delivery
95097,2668,2350,1.0,PostNL,Delivery
95105,2668,2350,1.0,PostNL,Delivery
95109,2668,2350,1.0,PostNL,Delivery
95129,2668,2350,1.0,PostNL,Delivery
95130,2668,2350,1.0,PostNL,Delivery
95133,2668,2350,1.0,PostNL,Delivery
95163,1044,2351,7.0,DHL,Delivery
95170,4604,2351,14.0,DPD,Delivery
95172,4604,2351,14.0,DPD,Delivery
95178,2668,2351,1.0,PostNL,Delivery
95181,2668,2351,1.0,PostNL,Delivery
95193,2668,2351,1.0,PostNL,Delivery
95204,2668,2351,1.0,PostNL,Delivery
95215,1044,2352,7.0,DHL,Delivery
95216,1044,2352,7.0,DHL,Delivery
95260,2668,2352,1.0,PostNL,Delivery
95289,2668,2352,1.0,PostNL,Delivery
95295,2668,2352,1.0,PostNL,Delivery
95309,4604,2352,14.0,DPD,Delivery
95345,2668,2356,1.0,PostNL,Delivery
95368,4604,2356,14.0,DPD,Delivery
95377,2662,2359,10.0,DHL,Delivery
95379,2662,2359,10.0,DHL,Delivery
95388,2662,2359,10.0,DHL,Delivery
95414,2668,2359,1.0,PostNL,Delivery
95415,2668,2359,1.0,PostNL,Delivery
95427,2668,2359,1.0,PostNL,Delivery
95428,2668,2359,1.0,PostNL,Delivery
95438,2668,2359,1.0,PostNL,Delivery
95453,2668,2359,1.0,PostNL,Delivery
95469,2662,2360,10.0,DHL,Delivery
95537,2668,2362,1.0,PostNL,Delivery
95539,2668,2362,1.0,PostNL,Delivery
95544,2668,2362,1.0,PostNL,Delivery
95552,4604,2362,14.0,DPD,Delivery
95556,2662,2363,10.0,DHL,Delivery
95560,2662,2363,10.0,DHL,Delivery
95567,2662,2363,10.0,DHL,Delivery
95574,2662,2363,10.0,DHL,Delivery
95577,2662,2363,10.0,DHL,Delivery
95605,2662,2363,10.0,DHL,Delivery
95615,4604,2363,14.0,DPD,Delivery
95619,4604,2363,14.0,DPD,Delivery
95624,4604,2363,14.0,DPD,Delivery
95639,4604,2363,14.0,DPD,Delivery
95654,4604,2363,14.0,DPD,Delivery
95695,2668,2363,1.0,PostNL,Delivery
95697,2668,2363,1.0,PostNL,Delivery
95724,2668,2363,1.0,PostNL,Delivery
95733,2668,2363,1.0,PostNL,Delivery
95734,2668,2363,1.0,PostNL,Delivery
95796,4604,2363,14.0,DPD,Delivery
95872,2668,2364,1.0,PostNL,Delivery
95903,2668,2364,1.0,PostNL,Delivery
95908,4604,2364,14.0,DPD,Delivery
95946,2662,2366,10.0,DHL,Delivery
95962,4604,2366,14.0,DPD,Delivery
95975,2668,2366,1.0,PostNL,Delivery
95982,2668,2366,1.0,PostNL,Delivery
95987,2668,2366,1.0,PostNL,Delivery
96034,2668,2367,1.0,PostNL,Delivery
96038,2668,2367,1.0,PostNL,Delivery
96039,2668,2367,1.0,PostNL,Delivery
96043,2668,2367,1.0,PostNL,Delivery
96077,4604,2369,14.0,DPD,Delivery
96081,4604,2369,14.0,DPD,Delivery
96100,2668,2369,1.0,PostNL,Delivery
96103,2668,2369,1.0,PostNL,Delivery
96109,2668,2369,1.0,PostNL,Delivery
96110,2668,2369,1.0,PostNL,Delivery
96113,2668,2369,1.0,PostNL,Delivery
96122,4604,2369,14.0,DPD,Delivery
96124,4604,2369,14.0,DPD,Delivery
96141,2662,2370,10.0,DHL,Delivery
96160,2668,2370,1.0,PostNL,Delivery
96187,2668,2370,1.0,PostNL,Delivery
96197,4604,2370,14.0,DPD,Delivery
96205,2662,2371,10.0,DHL,Delivery
96218,2662,2371,10.0,DHL,Delivery
96235,4604,2371,14.0,DPD,Delivery
96240,4604,2371,14.0,DPD,Delivery
96254,4604,2371,14.0,DPD,Delivery
96271,2668,2371,1.0,PostNL,Delivery
96273,2668,2371,1.0,PostNL,Delivery
96292,2668,2371,1.0,PostNL,Delivery
96313,2668,2371,1.0,PostNL,Delivery
96319,2668,2371,1.0,PostNL,Delivery
96326,2668,2371,1.0,PostNL,Delivery
96337,2668,2371,1.0,PostNL,Delivery
96352,4604,2371,14.0,DPD,Delivery
96368,2662,2375,10.0,DHL,Delivery
96371,2662,2375,10.0,DHL,Delivery
96376,2662,2375,10.0,DHL,Delivery
96381,2662,2375,10.0,DHL,Delivery
96387,2662,2375,10.0,DHL,Delivery
96390,2662,2375,10.0,DHL,Delivery
96394,2662,2375,10.0,DHL,Delivery
96421,2662,2375,10.0,DHL,Delivery
96447,2662,2375,10.0,DHL,Delivery
96455,2662,2375,10.0,DHL,Delivery
96489,4604,2375,14.0,DPD,Delivery
96533,2668,2375,1.0,PostNL,Delivery
96537,2668,2375,1.0,PostNL,Delivery
96540,2668,2375,1.0,PostNL,Delivery
96543,2668,2375,1.0,PostNL,Delivery
96548,2668,2375,1.0,PostNL,Delivery
96587,2668,2375,1.0,PostNL,Delivery
96601,2668,2375,1.0,PostNL,Delivery
96607,2668,2375,1.0,PostNL,Delivery
96616,2668,2375,1.0,PostNL,Delivery
96619,2668,2375,1.0,PostNL,Delivery
96628,2668,2375,1.0,PostNL,Delivery
96635,2668,2375,1.0,PostNL,Delivery
96637,2668,2375,1.0,PostNL,Delivery
96684,2668,2375,1.0,PostNL,Delivery
96687,2668,2375,1.0,PostNL,Delivery
96703,2668,2375,1.0,PostNL,Delivery
96704,2668,2375,1.0,PostNL,Delivery
96706,2668,2375,1.0,PostNL,Delivery
96715,2668,2375,1.0,PostNL,Delivery
96719,2668,2375,1.0,PostNL,Delivery
96731,2668,2375,1.0,PostNL,Delivery
96734,4604,2375,14.0,DPD,Delivery
96741,4604,2375,14.0,DPD,Delivery
96746,4604,2375,14.0,DPD,Delivery
96764,4604,2375,14.0,DPD,Delivery
96769,1044,2376,7.0,DHL,Delivery
96780,1044,2376,7.0,DHL,Delivery
96785,4604,2376,14.0,DPD,Delivery
96795,2668,2376,1.0,PostNL,Delivery
96797,2668,2376,1.0,PostNL,Delivery
96811,2668,2376,1.0,PostNL,Delivery
96820,2668,2376,1.0,PostNL,Delivery
96829,2668,2378,1.0,PostNL,Delivery
96834,2662,2380,10.0,DHL,Delivery
96843,2668,2380,1.0,PostNL,Delivery
96848,2668,2380,1.0,PostNL,Delivery
96868,2662,2384,10.0,DHL,Delivery
96889,4604,2384,14.0,DPD,Delivery
96893,2668,2384,1.0,PostNL,Delivery
96939,2662,2385,10.0,DHL,Delivery
96940,2662,2385,10.0,DHL,Delivery
96942,2662,2385,10.0,DHL,Delivery
96943,2662,2385,10.0,DHL,Delivery
96954,4604,2385,14.0,DPD,Delivery
96961,4604,2385,14.0,DPD,Delivery
96973,4604,2385,14.0,DPD,Delivery
96988,2668,2385,1.0,PostNL,Delivery
97011,2668,2385,1.0,PostNL,Delivery
97041,4604,2385,14.0,DPD,Delivery
97047,4604,2385,14.0,DPD,Delivery
97066,4604,2386,14.0,DPD,Delivery
97067,4604,2386,14.0,DPD,Delivery
97075,4604,2386,14.0,DPD,Delivery
97083,2668,2386,1.0,PostNL,Delivery
97088,2668,2386,1.0,PostNL,Delivery
97093,2668,2386,1.0,PostNL,Delivery
97147,4604,2388,14.0,DPD,Delivery
97149,2668,2388,1.0,PostNL,Delivery
97206,2662,2389,10.0,DHL,Delivery
97211,2662,2389,10.0,DHL,Delivery
97213,2662,2389,10.0,DHL,Delivery
97217,4604,2389,14.0,DPD,Delivery
97220,4604,2389,14.0,DPD,Delivery
97230,4604,2389,14.0,DPD,Delivery
97242,2668,2389,1.0,PostNL,Delivery
97250,2668,2389,1.0,PostNL,Delivery
97287,2668,2389,1.0,PostNL,Delivery
97289,2668,2389,1.0,PostNL,Delivery
97311,2668,2389,1.0,PostNL,Delivery
97313,2668,2389,1.0,PostNL,Delivery
97327,4604,2389,14.0,DPD,Delivery
97331,4604,2389,14.0,DPD,Delivery
97340,4604,2389,14.0,DPD,Delivery
97355,2662,2390,10.0,DHL,Delivery
97371,4604,2390,14.0,DPD,Delivery
97381,2668,2390,1.0,PostNL,Delivery
97384,2668,2390,1.0,PostNL,Delivery
97399,2668,2390,1.0,PostNL,Delivery
97417,2668,2390,1.0,PostNL,Delivery
97419,4604,2390,14.0,DPD,Delivery
97425,4604,2390,14.0,DPD,Delivery
97432,2662,2391,10.0,DHL,Delivery
97452,4604,2391,14.0,DPD,Delivery
97472,2668,2391,1.0,PostNL,Delivery
97473,2668,2391,1.0,PostNL,Delivery
97474,2668,2391,1.0,PostNL,Delivery
97489,2668,2391,1.0,PostNL,Delivery
97494,2668,2391,1.0,PostNL,Delivery
97504,2668,2391,1.0,PostNL,Delivery
97508,4604,2391,14.0,DPD,Delivery
97514,2662,2392,10.0,DHL,Delivery
97515,2662,2392,10.0,DHL,Delivery
97525,2668,2392,1.0,PostNL,Delivery
97526,2668,2392,1.0,PostNL,Delivery
97531,2662,2393,10.0,DHL,Delivery
97537,2662,2393,10.0,DHL,Delivery
97546,2662,2393,10.0,DHL,Delivery
97593,2668,2393,1.0,PostNL,Delivery
97612,4604,2393,14.0,DPD,Delivery
